Accuracy,Precision,Recall,F1_Score,ROC_AUC,Model,Sampling
0.9396551724137931,0.07692307692307693,0.3333333333333333,0.125,0.6943231441048034,LogisticRegression,SMOTETomek
0.978448275862069,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8245997088791848,DecisionTree,SMOTETomek
0.9913793103448276,1.0,0.3333333333333333,0.5,0.7096069868995633,RandomForest,SMOTETomek
0.9482758620689655,0.0,0.0,0.0,0.6200873362445415,KNN,SMOTETomek
0.9655172413793104,0.0,0.0,0.0,0.6703056768558951,SVM,SMOTETomek
0.9482758620689655,0.09090909090909091,0.3333333333333333,0.14285714285714285,0.7088791848617176,LogisticRegression,SMOTEENN
0.9741379310344828,0.2857142857142857,0.6666666666666666,0.4,0.8224163027656476,DecisionTree,SMOTEENN
0.9913793103448276,1.0,0.3333333333333333,0.5,0.7765647743813683,RandomForest,SMOTEENN
0.9353448275862069,0.0,0.0,0.0,0.6149927219796215,KNN,SMOTEENN
0.9568965517241379,0.0,0.0,0.0,0.6506550218340611,SVM,SMOTEENN
0.9181034482758621,0.1,0.6666666666666666,0.17391304347826086,0.6957787481804948,LogisticRegression,BorderlineSMOTE
0.9913793103448276,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8311499272197962,DecisionTree,BorderlineSMOTE
0.9870689655172413,0.0,0.0,0.0,0.9505094614264921,RandomForest,BorderlineSMOTE
0.9870689655172413,0.0,0.0,0.0,0.4868995633187773,KNN,BorderlineSMOTE
0.9612068965517241,0.0,0.0,0.0,0.3522561863173217,SVM,BorderlineSMOTE
0.4525862068965517,0.015625,0.6666666666666666,0.030534351145038167,0.5836972343522562,LogisticRegression,NearMissV2
0.3706896551724138,0.013605442176870748,0.6666666666666666,0.02666666666666667,0.5167394468704511,DecisionTree,NearMissV2
0.34051724137931033,0.012987012987012988,0.6666666666666666,0.025477707006369428,0.7751091703056768,RandomForest,NearMissV2
0.9568965517241379,0.0,0.0,0.0,0.549490538573508,KNN,NearMissV2
0.3232758620689655,0.012658227848101266,0.6666666666666666,0.024844720496894408,0.47307132459970885,SVM,NearMissV2
0.9181034482758621,0.1,0.6666666666666666,0.17391304347826086,0.6957787481804948,LogisticRegression,CostSensitive
0.9870689655172413,0.5,0.6666666666666666,0.5714285714285714,0.828966521106259,DecisionTree,CostSensitive
0.9870689655172413,0.0,0.0,0.0,0.9264919941775838,RandomForest,CostSensitive
0.9870689655172413,0.0,0.0,0.0,0.4868995633187773,KNN,CostSensitive
0.9612068965517241,0.0,0.0,0.0,0.3522561863173217,SVM,CostSensitive
